candidate_TF,neighbor_rank,neighbor_TF_in_perturbseq_rest,distance,similarity_approx
FOXN3,4,IRF1,0.4706854199702645,0.5293145800297355
FOXN3,5,MXD3,0.48617374129055513,0.5138262587094449
FOXN3,6,ISL2,0.4962764920459365,0.5037235079540635
FOXN3,7,JUNB,0.5013333913875226,0.49866660861247736
FOXN3,8,ZBTB2,0.5049044790703096,0.49509552092969045
FOXN3,9,FOXP3,0.5080424536252774,0.49195754637472255
FOXN3,10,ZBTB42,0.5189319732534583,0.4810680267465417
FOXP1,1,ZNF7,0.17299743291179004,0.82700256708821
FOXP1,2,ZNF786,0.1733923709535442,0.8266076290464558
FOXP1,3,ZNF304,0.20626685566402947,0.7937331443359705
FOXP1,4,ZNF527,0.2150636636271761,0.7849363363728239
FOXP1,5,ZBTB9,0.21794512800269017,0.7820548719973098
FOXP1,6,SP140L,0.2217038598169726,0.7782961401830274
FOXP1,7,ZNF221,0.22410712996861482,0.7758928700313852
FOXP1,8,ZNF394,0.224382960481737,0.775617039518263
FOXP1,9,NFAT5,0.22571906135396425,0.7742809386460358
FOXP1,10,ZNF256,0.23735320898013212,0.7626467910198679
GATA1,1,ZNF816,0.43999455860088754,0.5600054413991125
GATA1,2,TRERF1,0.4724990396563131,0.5275009603436869
GATA1,3,ADNP,0.4917721839675516,0.5082278160324484
GATA1,4,CHAMP1,0.49370373989914873,0.5062962601008513
GATA1,5,ATF1,0.5075336224930238,0.4924663775069762
GATA1,6,ZNF714,0.5364086579269698,0.4635913420730302
GATA1,7,THRA,0.5401270930565912,0.45987290694340877
GATA1,8,ZNF689,0.5441806662793358,0.4558193337206642
GATA1,9,ARNT,0.5485936736877339,0.45140632631226607
GATA1,10,BCL6,0.5492112462610488,0.4507887537389512
GATAD2A,1,SP140,0.44502263010781096,0.554977369892189
GATAD2A,2,ZNF180,0.463954898818856,0.536045101181144
GATAD2A,3,FOXN2,0.46591075226799694,0.5340892477320031
GATAD2A,4,NCOA1,0.49036839413638633,0.5096316058636137
GATAD2A,5,MLX,0.5150163451446317,0.4849836548553683
GATAD2A,6,RBPJ,0.5169757417317978,0.48302425826820217
GATAD2A,7,DMTF1,0.5387180628174333,0.4612819371825667
GATAD2A,8,ZNF644,0.5498402599967716,0.45015974000322845
GATAD2A,9,ZNF627,0.561794354894882,0.43820564510511795
GATAD2A,10,MXD3,0.5696261224809731,0.4303738775190269
GFI1,1,CAMTA1,0.21910392583828486,0.7808960741617151
GFI1,2,NR4A1,0.2243209087406305,0.7756790912593695
GFI1,3,ZNF776,0.3454750815928258,0.6545249184071742
GFI1,4,PHF20,0.35595749686736833,0.6440425031326317
GFI1,5,FBXL19,0.35975661947024795,0.640243380529752
GFI1,6,ZNF681,0.377018319877786,0.622981680122214
GFI1,7,ZNF343,0.3853068440670009,0.6146931559329991
GFI1,8,MAFG,0.397670704354782,0.602329295645218
GFI1,9,SMAD4,0.3983585582730893,0.6016414417269107
GFI1,10,ZNF398,0.40558337043198234,0.5944166295680177
GLYR1,1,ZNF589,0.28504006564762885,0.7149599343523712
GLYR1,2,ZNF70,0.291858279555543,0.708141720444457
GLYR1,3,ZNF256,0.32729348982580575,0.6727065101741942
GLYR1,4,ZNF597,0.3325329922367084,0.6674670077632916
GLYR1,5,RFX5,0.34427979664122255,0.6557202033587775
GLYR1,6,ADNP2,0.3539072639551094,0.6460927360448906
GLYR1,7,FOXP3,0.3801746697117834,0.6198253302882166
GLYR1,8,ZNF25,0.3852128093240452,0.6147871906759548
GLYR1,9,ZHX1,0.3923006290297385,0.6076993709702615
GLYR1,10,ZNF800,0.39522993625510816,0.6047700637448918
GPBP1L1,1,SMYD3,0.4425458036631348,0.5574541963368652
GPBP1L1,2,ZBTB42,0.533084741838296,0.466915258161704
GPBP1L1,3,MXD1,0.5435848263651919,0.4564151736348081
GPBP1L1,4,THAP7,0.5493162931940396,0.45068370680596037
GPBP1L1,5,MXD3,0.5514123470196883,0.44858765298031167
GPBP1L1,6,STAT5B,0.5537887859084276,0.4462112140915724
GPBP1L1,7,ZNF700,0.5589884444230164,0.44101155557698357
GPBP1L1,8,RREB1,0.5590304086032538,0.4409695913967462
GPBP1L1,9,ZEB1,0.5705947940768641,0.4294052059231359
GPBP1L1,10,RARA,0.5720535346031803,0.4279464653968197
HBP1,1,JRK,0.3747655797282977,0.6252344202717023
HBP1,2,ZFP14,0.38742519314349577,0.6125748068565042
HBP1,3,ZNF714,0.4118781490773482,0.5881218509226518
HBP1,4,GATAD2B,0.4278723126651548,0.5721276873348452
HBP1,5,BATF3,0.4520984139888935,0.5479015860111065
HBP1,6,RFX7,0.4784646222439558,0.5215353777560442
HBP1,7,ZNF682,0.49735931078059425,0.5026406892194057
HBP1,8,ZBTB48,0.5000499403378327,0.4999500596621673
HBP1,9,ZBTB5,0.516757302326869,0.483242697673131
